iter	RMSE
0	13.02506501
1	11.97102194
2	10.93343607
3	10.14998509
4	9.360978458
5	8.658655075
6	7.995866827
7	7.395853367
8	6.807366085
9	6.259653835
10	5.814408082
11	5.382747079
12	4.985955032
13	4.625993383
14	4.312386592
15	3.986872787
16	3.704339457
17	3.449277715
18	3.238662254
19	3.007115582
20	2.813002504
21	2.634963628
22	2.466087584
23	2.299339575
24	2.161728379
25	2.029631926
26	1.905794563
27	1.799167886
28	1.696895178
29	1.604482607
30	1.519685747
31	1.438553207
32	1.374466754
33	1.310092991
34	1.258940969
35	1.210733809
36	1.155547647
37	1.114252295
38	1.072057288
39	1.032300696
40	0.9971893329
41	0.9683543583
42	0.942779914
43	0.9170017412
44	0.8927924585
45	0.8714646486
46	0.8528540817
47	0.832447497
48	0.8164705467
49	0.8030645969
50	0.7897916398
51	0.7763090512
52	0.7640619105
53	0.7522574334
54	0.7432563485
55	0.7331252484
56	0.7253642422
57	0.7168376897
58	0.7070358105
59	0.6999996195
60	0.6911460817
61	0.6846638109
62	0.6806513842
63	0.6788312586
64	0.6732664908
65	0.6699569126
66	0.6641138334
67	0.6592106692
68	0.6514017041
69	0.6463128784
70	0.6437392762
71	0.6417333972
72	0.6355059322
73	0.6314506942
74	0.6294968846
75	0.6280447609
76	0.6269883402
77	0.6261315405
78	0.6199079434
79	0.6186400912
80	0.6173996676
81	0.616457702
82	0.6155800998
83	0.6118687591
84	0.6110432481
85	0.6093823407
86	0.6085648666
87	0.6068327283
88	0.6060165196
89	0.6053614613
90	0.6047730912
91	0.6019385698
92	0.6009496093
93	0.5960198862
94	0.5955597212
95	0.592201125
96	0.5897145087
97	0.5893209783
98	0.5889274178
99	0.5825654302
