iter	Passed	Remaining
0	0	29
1	0	27
2	0	26
3	1	27
4	1	26
5	1	26
6	2	35
7	2	33
8	3	31
9	3	30
10	3	29
11	3	28
12	4	27
13	4	26
14	4	25
15	4	25
16	5	24
17	5	23
18	5	23
19	5	22
20	5	22
21	6	22
22	6	21
23	6	21
24	6	20
25	7	20
26	7	19
27	7	19
28	7	18
29	7	18
30	8	18
31	8	17
32	8	17
33	8	17
34	9	17
35	9	16
36	9	16
37	9	15
38	9	15
39	10	15
40	10	14
41	10	14
42	10	14
43	11	14
44	11	13
45	11	13
46	11	13
47	12	13
48	12	12
49	12	12
50	12	12
51	13	12
52	13	11
53	13	11
54	13	11
55	13	10
56	14	10
57	14	10
58	14	10
59	15	10
60	15	9
61	15	9
62	15	9
63	16	9
64	16	8
65	16	8
66	16	8
67	17	8
68	17	7
69	17	7
70	17	7
71	18	7
72	18	6
73	18	6
74	19	6
75	19	6
76	19	5
77	19	5
78	20	5
79	20	5
80	20	4
81	20	4
82	21	4
83	21	4
84	21	3
85	21	3
86	22	3
87	22	3
88	22	2
89	22	2
90	23	2
91	23	2
92	23	1
93	23	1
94	24	1
95	24	1
96	24	0
97	24	0
98	25	0
99	25	0
