iter	Passed	Remaining
0	55	55493
1	55	27924
2	56	18710
3	56	14096
4	57	11346
5	57	9491
6	57	8169
7	57	7180
8	58	6407
9	58	5792
10	58	5296
11	59	4876
12	59	4518
13	59	4210
14	60	3942
15	60	3709
16	60	3504
17	60	3323
18	61	3159
19	61	3014
20	61	2879
21	62	2756
22	62	2646
23	62	2545
24	62	2452
25	63	2367
26	63	2287
27	63	2217
28	64	2153
29	64	2092
30	65	2032
31	65	1975
32	65	1923
33	66	1876
34	66	1833
35	66	1790
36	67	1748
37	67	1708
38	67	1671
39	68	1635
40	68	1601
41	68	1569
42	69	1536
43	69	1507
44	69	1480
45	70	1454
46	70	1427
47	70	1401
48	70	1377
49	71	1353
50	71	1330
51	71	1309
52	72	1289
53	72	1269
54	72	1250
55	73	1232
56	73	1214
57	73	1197
58	74	1180
59	74	1163
60	74	1148
61	74	1133
62	75	1119
63	75	1105
64	75	1092
65	76	1078
66	76	1064
67	76	1051
68	77	1039
69	77	1026
70	77	1014
71	77	1003
72	78	992
73	78	982
74	78	972
75	79	962
76	79	952
77	79	944
78	80	936
79	80	927
80	81	919
81	81	911
82	81	904
83	82	896
84	82	888
85	82	881
86	83	874
87	83	866
88	83	859
89	84	852
90	84	845
91	84	838
92	85	830
93	85	824
94	85	817
95	86	811
96	86	805
97	86	799
98	87	792
99	87	787
100	87	781
101	88	774
102	88	768
103	88	763
104	88	758
105	89	753
106	89	748
107	90	743
108	90	738
109	90	734
110	91	730
111	91	725
112	91	720
113	92	715
114	92	710
115	92	705
116	92	701
117	93	697
118	93	692
119	93	688
120	94	684
121	94	680
122	94	676
123	95	673
124	95	669
125	96	665
126	96	662
127	96	659
128	97	656
129	97	652
130	97	649
131	98	646
132	98	642
133	98	639
134	99	636
135	99	632
136	99	629
137	100	625
138	100	622
139	100	619
140	101	616
141	101	612
142	101	608
143	101	606
144	102	603
145	102	600
146	103	597
147	103	594
148	103	591
149	103	588
150	104	586
151	104	582
152	104	579
153	105	577
154	105	574
155	105	572
156	106	569
157	106	567
158	106	564
159	107	562
160	107	558
161	107	555
162	107	552
163	107	550
164	108	547
165	108	544
166	108	542
167	109	540
168	109	537
169	109	535
170	110	533
171	110	531
172	110	529
173	110	526
174	111	524
175	111	522
176	111	520
177	112	518
178	112	517
179	113	515
180	113	513
181	113	511
182	114	509
183	114	507
184	114	504
185	114	503
186	115	501
187	115	499
188	115	497
189	116	495
190	116	493
191	116	492
192	117	489
193	117	487
194	117	485
195	117	482
196	117	480
197	118	478
198	118	476
199	118	473
200	118	471
201	118	469
202	119	468
203	119	467
204	120	465
205	120	463
206	120	461
207	120	460
208	121	458
209	121	457
210	121	455
211	122	454
212	122	452
213	122	450
214	122	448
215	123	446
216	123	445
217	123	443
218	123	441
219	124	439
220	124	438
221	124	436
222	124	435
223	125	434
224	125	432
225	125	430
226	126	429
227	126	427
228	126	426
229	126	424
230	127	423
231	127	421
232	127	419
233	127	418
234	128	417
235	128	415
236	128	413
237	128	412
238	129	411
239	129	409
240	129	408
241	129	406
242	130	405
243	130	403
244	130	402
245	130	400
246	130	398
247	130	396
248	131	395
249	131	393
250	131	392
251	131	391
252	131	389
253	132	388
254	132	387
255	133	386
256	133	385
257	133	384
258	133	382
259	133	381
260	134	379
261	134	379
262	134	377
263	134	375
264	135	375
265	135	374
266	135	373
267	135	371
268	136	370
269	136	369
270	136	367
271	137	366
272	137	365
273	137	364
274	137	363
275	138	362
276	138	361
277	138	360
278	139	359
279	139	358
280	139	357
281	139	355
282	140	354
283	140	353
284	141	354
285	141	353
286	142	353
287	142	352
288	142	351
289	143	350
290	143	349
291	143	348
292	143	347
293	144	346
294	144	345
295	144	344
296	144	342
297	145	342
298	145	341
299	145	340
300	146	339
301	146	338
302	146	338
303	147	336
304	147	335
305	147	334
306	147	333
307	148	332
308	148	332
309	148	331
310	149	330
311	149	329
312	149	328
313	149	327
314	150	326
315	150	325
316	150	325
317	151	324
318	151	323
319	152	323
320	152	322
321	152	321
322	153	321
323	153	320
324	153	319
325	154	319
326	154	318
327	155	317
328	155	317
329	156	316
330	156	316
331	156	315
332	157	314
333	157	313
334	157	313
335	158	312
336	158	311
337	158	311
338	159	310
339	159	309
340	159	309
341	160	308
342	160	307
343	160	306
344	161	306
345	161	305
346	162	304
347	162	304
348	162	303
349	163	302
350	163	302
351	163	301
352	164	300
353	164	300
354	164	299
355	165	298
356	165	298
357	165	297
358	166	296
359	166	295
360	166	295
361	167	294
362	167	294
363	167	293
364	168	292
365	168	292
366	168	291
367	169	290
368	169	290
369	170	289
370	170	289
371	170	288
372	171	287
373	171	287
374	172	286
375	172	286
376	172	285
377	173	285
378	173	284
379	174	284
380	174	284
381	175	283
382	175	282
383	176	282
384	176	282
385	176	281
386	177	280
387	177	279
388	177	279
389	178	278
390	178	278
391	178	277
392	179	276
393	179	276
394	179	275
395	180	274
396	180	274
397	180	273
398	181	272
399	181	272
400	181	271
401	182	270
402	182	270
403	182	269
404	182	268
405	183	267
406	183	267
407	183	266
408	184	265
409	184	265
410	184	264
411	184	263
412	185	263
413	185	262
414	185	261
415	186	261
416	186	260
417	186	259
418	186	259
419	187	258
420	187	257
421	188	257
422	188	256
423	188	256
424	189	256
425	189	255
426	189	254
427	190	254
428	190	253
429	190	252
430	191	252
431	191	251
432	191	251
433	191	250
434	192	249
435	192	249
436	192	248
437	193	247
438	193	247
439	193	246
440	194	245
441	194	245
442	194	244
443	194	243
444	195	243
445	195	242
446	195	242
447	195	241
448	196	240
449	196	240
450	197	240
451	197	239
452	198	239
453	198	238
454	198	237
455	198	237
456	199	236
457	199	235
458	199	235
459	199	234
460	200	234
461	200	233
462	200	232
463	201	232
464	201	231
465	201	231
466	201	230
467	202	229
468	202	229
469	202	228
470	203	228
471	203	227
472	203	227
473	204	226
474	204	225
475	204	225
476	205	225
477	205	224
478	206	224
479	206	223
480	206	222
481	206	222
482	207	221
483	207	221
484	207	220
485	208	220
486	208	219
487	208	218
488	208	218
489	209	217
490	209	217
491	209	216
492	210	215
493	210	215
494	210	214
495	210	214
496	211	213
497	211	213
498	211	212
499	212	212
500	212	211
501	212	210
502	212	210
503	213	209
504	213	209
505	213	208
506	214	208
507	214	207
508	214	207
509	214	206
510	215	205
511	215	205
512	215	204
513	216	204
514	216	203
515	216	203
516	216	202
517	217	202
518	217	201
519	217	201
520	218	200
521	218	200
522	218	199
523	219	199
524	219	198
525	219	197
526	219	197
527	220	196
528	220	196
529	220	195
530	221	195
531	221	194
532	221	194
533	221	193
534	222	193
535	222	192
536	222	192
537	223	191
538	223	191
539	223	190
540	223	189
541	224	189
542	224	188
543	224	188
544	224	187
545	225	187
546	225	186
547	225	186
548	226	185
549	226	185
550	226	184
551	227	184
552	227	183
553	227	183
554	227	182
555	228	182
556	228	181
557	228	181
558	229	180
559	229	180
560	229	179
561	229	179
562	230	178
563	230	178
564	230	177
565	230	177
566	231	176
567	231	176
568	231	175
569	232	175
570	232	174
571	232	174
572	232	173
573	233	173
574	233	172
575	233	171
576	233	171
577	234	171
578	234	170
579	234	170
580	235	169
581	235	169
582	235	168
583	236	168
584	236	167
585	236	167
586	236	166
587	237	166
588	237	165
589	237	165
590	238	164
591	238	164
592	238	163
593	238	163
594	239	162
595	239	162
596	239	161
597	240	161
598	240	160
599	240	160
600	241	160
601	241	159
602	241	159
603	241	158
604	242	158
605	242	157
606	242	157
607	242	156
608	243	156
609	243	155
610	243	155
611	244	154
612	244	154
613	244	153
614	244	153
615	245	152
616	245	152
617	245	151
618	246	151
619	246	150
620	246	150
621	246	150
622	247	149
623	247	149
624	247	148
625	247	148
626	248	147
627	248	147
628	248	146
629	249	146
630	249	145
631	249	145
632	249	144
633	250	144
634	250	143
635	250	143
636	251	143
637	251	142
638	251	142
639	252	141
640	252	141
641	252	140
642	253	140
643	253	140
644	253	139
645	253	139
646	254	138
647	254	138
648	254	137
649	254	137
650	255	136
651	255	136
652	255	135
653	256	135
654	256	134
655	256	134
656	256	134
657	257	133
658	257	133
659	257	132
660	258	132
661	259	132
662	259	131
663	259	131
664	259	130
665	260	130
666	260	130
667	260	129
668	261	129
669	261	128
670	261	128
671	261	127
672	262	127
673	262	126
674	262	126
675	262	126
676	263	125
677	263	125
678	263	124
679	264	124
680	264	123
681	264	123
682	264	122
683	265	122
684	265	122
685	265	121
686	266	121
687	266	120
688	266	120
689	267	119
690	267	119
691	267	119
692	267	118
693	268	118
694	268	117
695	268	117
696	269	116
697	269	116
698	269	116
699	269	115
700	270	115
701	270	114
702	270	114
703	271	113
704	271	113
705	271	113
706	271	112
707	272	112
708	272	111
709	272	111
710	273	110
711	273	110
712	273	110
713	273	109
714	274	109
715	274	108
716	274	108
717	275	108
718	275	107
719	275	107
720	275	106
721	276	106
722	276	105
723	276	105
724	277	105
725	277	104
726	277	104
727	277	103
728	278	103
729	278	102
730	278	102
731	279	102
732	279	101
733	279	101
734	279	100
735	280	100
736	280	100
737	280	99
738	280	99
739	281	98
740	281	98
741	281	97
742	282	97
743	282	97
744	282	96
745	283	96
746	283	95
747	283	95
748	283	95
749	284	94
750	284	94
751	284	93
752	285	93
753	285	93
754	285	92
755	286	92
756	286	91
757	286	91
758	286	91
759	287	90
760	287	90
761	287	89
762	288	89
763	288	89
764	288	88
765	288	88
766	289	87
767	289	87
768	289	87
769	290	86
770	290	86
771	290	85
772	290	85
773	291	85
774	291	84
775	291	84
776	292	83
777	292	83
778	292	83
779	292	82
780	293	82
781	293	81
782	293	81
783	293	80
784	294	80
785	294	80
786	294	79
787	295	79
788	295	78
789	295	78
790	295	78
791	296	77
792	296	77
793	296	76
794	297	76
795	297	76
796	297	75
797	297	75
798	298	75
799	298	74
800	298	74
801	299	73
802	299	73
803	299	73
804	300	72
805	300	72
806	300	71
807	301	71
808	301	71
809	301	70
810	301	70
811	302	69
812	302	69
813	302	69
814	303	68
815	303	68
816	303	68
817	303	67
818	304	67
819	304	66
820	304	66
821	304	66
822	305	65
823	305	65
824	305	64
825	305	64
826	306	64
827	306	63
828	306	63
829	307	62
830	307	62
831	307	62
832	308	61
833	308	61
834	308	60
835	308	60
836	309	60
837	309	59
838	309	59
839	310	59
840	310	58
841	310	58
842	310	57
843	311	57
844	311	57
845	311	56
846	311	56
847	312	55
848	312	55
849	312	55
850	313	54
851	313	54
852	313	54
853	314	53
854	314	53
855	314	52
856	314	52
857	315	52
858	315	51
859	315	51
860	316	51
861	316	50
862	316	50
863	317	49
864	317	49
865	317	49
866	317	48
867	318	48
868	318	47
869	318	47
870	318	47
871	319	46
872	319	46
873	319	46
874	320	45
875	320	45
876	320	44
877	321	44
878	321	44
879	321	43
880	321	43
881	322	43
882	322	42
883	322	42
884	323	41
885	323	41
886	323	41
887	323	40
888	324	40
889	324	40
890	324	39
891	325	39
892	325	38
893	325	38
894	325	38
895	326	37
896	326	37
897	326	37
898	326	36
899	327	36
900	327	35
901	327	35
902	328	35
903	328	34
904	328	34
905	328	34
906	329	33
907	329	33
908	329	33
909	330	32
910	330	32
911	330	31
912	331	31
913	331	31
914	331	30
915	331	30
916	332	30
917	332	29
918	332	29
919	333	28
920	333	28
921	333	28
922	333	27
923	334	27
924	334	27
925	334	26
926	334	26
927	335	26
928	335	25
929	335	25
930	336	24
931	336	24
932	336	24
933	337	23
934	337	23
935	337	23
936	337	22
937	338	22
938	338	21
939	338	21
940	339	21
941	339	20
942	339	20
943	339	20
944	340	19
945	340	19
946	340	19
947	341	18
948	341	18
949	341	17
950	342	17
951	342	17
952	342	16
953	343	16
954	343	16
955	343	15
956	344	15
957	345	15
958	345	14
959	345	14
960	345	14
961	346	13
962	346	13
963	346	12
964	347	12
965	347	12
966	347	11
967	348	11
968	348	11
969	348	10
970	348	10
971	349	10
972	349	9
973	349	9
974	350	8
975	350	8
976	350	8
977	351	7
978	351	7
979	351	7
980	352	6
981	352	6
982	352	6
983	353	5
984	353	5
985	353	5
986	353	4
987	354	4
988	354	3
989	354	3
990	355	3
991	355	2
992	355	2
993	356	2
994	356	1
995	356	1
996	357	1
997	357	0
998	357	0
999	358	0
